county,admin_area,total,male,female,searched_online_total,searched_online_total_perc,searched_online_male,searched_online_male_perc,searched_online_female,searched_online_female_perc
Mombasa,County,800412,403555,396843,58011,7.2,32027,7.9,25981,6.5
Kwale,County,472968,225949,247010,7004,1.5,4093,1.8,2910,1.2
Kilifi,County,830180,389477,440696,18667,2.2,10824,2.8,7843,1.8
Tana River,County,162150,79774,82374,1652,1,1115,1.4,537,0.7
Lamu,County,86390,46364,40025,2645,3.1,1735,3.7,910,2.3
Taita/Taveta,County,220214,111666,108544,7417,3.4,4303,3.9,3114,2.9
Garissa,County,453174,248556,204594,7218,1.6,4541,1.8,2677,1.3
Wajir,County,383424,206705,176689,4353,1.1,2790,1.3,1563,0.9
Mandera,County,387832,200714,187105,3630,0.9,2180,1.1,1449,0.8
Marsabit,County,232555,123665,108878,1818,0.8,1202,1,616,0.6
Isiolo,County,147320,77507,69811,2949,2,1980,2.6,969,1.4
Meru,County,997193,490595,506570,21363,2.1,11906,2.4,9455,1.9
Tharaka-Nithi,County,259984,126666,133315,5563,2.1,3013,2.4,2549,1.9
Embu,County,414785,205519,209251,10516,2.5,5642,2.7,4872,2.3
Kitui,County,686904,321241,365642,11702,1.7,6664,2.1,5037,1.4
Machakos,County,951658,471701,479937,44133,4.6,23782,5,20350,4.2
Makueni,County,633890,308324,325554,12838,2,7576,2.5,5262,1.6
Nyandarua,County,408782,198123,210646,9011,2.2,5539,2.8,3472,1.6
Nyeri,County,529048,256826,272200,22154,4.2,12648,4.9,9506,3.5
Kirinyaga,County,430493,211002,219468,12219,2.8,6916,3.3,5301,2.4
Murang'a,County,711163,348643,362499,17185,2.4,9760,2.8,7425,2
Kiambu,County,1658241,805753,852390,152171,9.2,81366,10.1,70797,8.3
Turkana,County,504380,260163,244204,5147,1,3389,1.3,1758,0.7
West Pokot,County,301800,146545,155251,2474,0.8,1592,1.1,882,0.6
Samburu,County,156593,78176,78414,2022,1.3,1249,1.6,773,1
Trans Nzoia,County,564784,274373,290401,12364,2.2,7293,2.7,5071,1.7
Uasin Gishu,County,726858,359386,367456,37721,5.2,21920,6.1,15800,4.3
Elgeyo/Marakwet,County,262296,130383,131907,4428,1.7,2839,2.2,1587,1.2
Nandi,County,535700,264583,271103,10900,2,6634,2.5,4264,1.6
Baringo,County,367367,182447,184914,7251,2,4632,2.5,2618,1.4
Laikipia,County,319415,157376,162031,10074,3.2,5915,3.8,4158,2.6
Nakuru,County,1330799,654405,676336,58427,4.4,34423,5.3,24001,3.5
Narok,County,583590,287295,296279,8496,1.5,5398,1.9,3098,1
Kajiado,County,678129,335208,342898,48551,7.2,26190,7.8,22357,6.5
Kericho,County,542555,269012,273524,13233,2.4,8257,3.1,4974,1.8
Bomet,County,508582,248162,260411,10835,2.1,7067,2.8,3768,1.4
Kakamega,County,1075846,502209,573620,23249,2.2,13607,2.7,9642,1.7
Vihiga,County,357160,167838,189316,7707,2.2,4474,2.7,3233,1.7
Bungoma,County,925716,439882,485819,17887,1.9,10657,2.4,7229,1.5
Busia,County,508168,234162,273996,9885,1.9,5994,2.6,3891,1.4
Siaya,County,579794,264326,315455,14384,2.5,8482,3.2,5902,1.9
Kisumu,County,693208,328579,364612,34033,4.9,19378,5.9,14654,4
Homa Bay,County,623095,284578,338502,15965,2.6,9701,3.4,6263,1.9
Migori,County,598194,278075,320103,14080,2.4,8630,3.1,5450,1.7
Kisii,County,750776,346681,404073,16800,2.2,10155,2.9,6644,1.6
Nyamira,County,366653,170585,196063,7907,2.2,4896,2.9,3011,1.5
Nairobi City,County,3008985,1491597,1517231,421094,14,224570,15.1,196493,13
